catalog,bare_valve_code,series,size,end_connection,num_empty,all_empty,empty_positions
ball,2090FP0001,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0002,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0003,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0004,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0005,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0006,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0007,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0008,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0009,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0010,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0011,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0012,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0013,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0014,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0015,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
